0:00:01 - 0:00:13, [âm nhạc]
0:04:12 - 0:04:16, cũng không quên là sẽ có một cái thành
0:04:14 - 0:04:20, phần bias. Chúng ta sẽ cộng bias ở phía
0:04:16 - 0:04:24, cuối đó. Thì xy à xj ở đây chính là cái
0:04:20 - 0:04:26, đặc trưng thứ j và wj chính là cái trọng
0:04:24 - 0:04:30, số hay là hệ số tương ứng với lại đặc
0:04:26 - 0:04:34, trưng thứ j cái chỉ số j đây.
0:04:30 - 0:04:37, Rồi b là cái hệ số chặn hoặc là bias và
0:04:34 - 0:04:40, vecơ à đặc trưng của một cái đối tượng
0:04:37 - 0:04:44, thì nó sẽ được ký hiệu là bằng x có cái
0:04:40 - 0:04:44, vecơ phía trên.
0:04:44 - 0:04:50, Và tiếp theo thì chúng ta sẽ biểu diễn
0:04:47 - 0:04:52, nó dưới dạng là một cái vecơ. Thì bình
0:04:50 - 0:04:55, thường W của mình sẽ là bao gồm W1 rồi
0:04:52 - 0:04:57, W2 vân vân. Thì chúng ta sẽ gom nó lại
0:04:55 - 0:05:01, thành một cái vectơ W như thế này. Tương
0:04:57 - 0:05:04, tự như vậy cho cái đặc trưng X độ vào
0:05:01 - 0:05:08, thì nó sẽ gồm có n phần tử. Thì X của
0:05:04 - 0:05:08, mình là một cái vectơ n phần tử.
0:05:09 - 0:05:21, [âm nhạc]
